ID,Ages,Income,Credit_Score,Loan_Amount,State
1,56,70585,541,14117,Maharastra
2,69,39833,531,7966,Maharastra
3,46,67302,583,13460,Maharastra
4,32,44374,499,8874,Maharastra
5,60,39587,378,7917,Maharastra
6,25,51647,472,10329,Maharastra
7,78,55136,766,11027,Maharastra
8,38,78672,715,15734,Maharastra
9,56,54793,748,10958,Maharastra
10,75,52899,386,10579,Maharastra
11,36,73942,400,14788,Maharastra
12,40,59015,307,11803,Maharastra
13,28,40335,499,8067,Maharastra
14,28,70339,804,14067,Maharastra
15,41,38905,386,7781,Maharastra
16,70,40261,342,8052,Maharastra
17,53,37272,684,7454,Maharastra
18,57,35956,734,7191,Maharastra
19,41,54997,707,10999,Maharastra
20,20,46131,782,9226,Maharastra
21,39,-2172,316,-434,Maharastra
22,70,45976,447,9195,Maharastra
23,19,42231,576,8446,Maharastra
24,41,63392,531,12678,Maharastra
25,61,41551,665,8310,Maharastra
26,47,88088,527,17617,Maharastra
27,55,70951,735,14190,Maharastra
28,19,44151,698,8830,Maharastra
29,77,67244,510,13448,Maharastra
30,38,57878,690,11575,Maharastra
31,50,53501,798,10700,Maharastra
32,29,62039,839,12407,Maharastra
33,75,50811,790,10162,Maharastra
34,39,53605,741,10721,Maharastra
35,78,62350,560,12470,Maharastra
36,61,80786,649,16157,Maharastra
37,42,53767,651,10753,Maharastra
38,66,43193,819,8638,Maharastra
39,44,19561,619,3912,Maharastra
40,76,79419,437,15883,Maharastra
41,59,46051,849,9210,Maharastra
42,45,58022,667,11604,Maharastra
43,77,78588,519,15717,Maharastra
44,33,53414,636,10682,Maharastra
45,32,47079,522,9415,Maharastra
46,79,71295,659,14259,Maharastra
47,79,56911,628,11382,Maharastra
48,64,58791,762,11758,Maharastra
49,79,27152,681,5430,Maharastra
50,68,68088,468,13617,Maharastra
51,61,55633,516,11126,Maharastra
52,72,29426,677,5885,Maharastra
53,69,57276,418,11455,Maharastra
54,74,19062,489,3812,Maharastra
